0,PayDay Motors,Warszawa,Kolejowa 650,+48 653044307,paydaymotors_warszawa@.pl
1,Select Motors,Warszawa,Krotka 884,+48 549747810,selectmotors_warszawa@.pl
2,AutoHouse,Warszawa,Sloneczna 892,+48 831574553,autohouse_warszawa@.pl
3,CarMax,Warszawa,Sosnowa 344,+48 683711006,carmax_warszawa@.pl
4,Automotive Group,Krakow,Sosnowa 187,+48 939204835,automotivegroup_krakow@.pl
5,Auto Centrum,Krakow,Lesna 159,+48 566764780,autocentrum_krakow@.pl
6,Car Dealers,Krakow,Brzozowa 102,+48 740885356,cardealers_krakow@.pl
7,Miroslaw Motors,Lodz,Lipowa 565,+48 864986720,miroslawmotors_lodz@.pl
8,Best Motors,Wroclaw,Ogrodowa 179,+48 345007650,bestmotors_wroclaw@.pl
9,Capital Auto Auction,Poznan,Lipowa 469,+48 582133753,capitalautoauction_poznan@.pl
10,Zawada,Gdansk,Lipowa 502,+48 531934484,zawada_gdansk@.pl
11,Select Motors,Szczecin,Krotka 741,+48 364023193,selectmotors_szczecin@.pl
12,Road Motors,Bydgoszcz,Lipowa 782,+48 147154173,roadmotors_bydgoszcz@.pl
13,Best Motors,Lublin,Sloneczna 855,+48 162104241,bestmotors_lublin@.pl
14,Zawada,Bialystok,Kwiatowa 254,+48 630033540,zawada_bialystok@.pl
15,Road Motors,Katowice,Lakowa 435,+48 481309066,roadmotors_katowice@.pl
16,National Motors,Gdynia,Szkolna 679,+48 730273118,nationalmotors_gdynia@.pl
17,Bracia M,Czestochowa,Koscielna 605,+48 890347755,braciam_czestochowa@.pl
18,Auto Trader Company,Radom,Sloneczna 292,+48 155130584,autotradercompany_radom@.pl
19,Go Motors,Torun,Lipowa 918,+48 179862616,gomotors_torun@.pl
20,Wonder Cars,Sosnowiec,Lesna 994,+48 220200446,wondercars_sosnowiec@.pl
21,Auto Martin,Rzeszow,Kolejowa 490,+48 162140855,automartin_rzeszow@.pl
22,Toyopet,Kielce,Sosnowa 783,+48 809700543,toyopet_kielce@.pl
23,Auto Martin,Gliwice,Kolejowa 323,+48 847943723,automartin_gliwice@.pl
24,Auto Trader Company,Olsztyn,Polna 584,+48 520672667,autotradercompany_olsztyn@.pl
25,Automotive Group,Zabrze,Kolejowa 841,+48 619516326,automotivegroup_zabrze@.pl
26,Toyopet,Bielsko-Biala,Sloneczna 278,+48 851260962,toyopet_bielsko-biala@.pl
27,PayDay Motors,Bytom,Krotka 763,+48 860048674,paydaymotors_bytom@.pl
28,PayDay Motors,Zielona Gora,Lakowa 757,+48 654255880,paydaymotors_zielonagora@.pl
29,Toyopet,Rybnik,Koscielna 469,+48 493811174,toyopet_rybnik@.pl
30,Go Motors,Ruda Slaska,Krotka 487,+48 429285978,gomotors_rudaslaska@.pl
31,Best Motors,Opole,Lesna 481,+48 548010387,bestmotors_opole@.pl
32,Capital Auto Auction,Tychy,Sosnowa 525,+48 703633100,capitalautoauction_tychy@.pl
33,Bracia M,Gorzow Wielkopolski,Brzozowa 843,+48 230711254,braciam_gorzowwielkopolski@.pl
34,Royal Auto,Elblag,Krotka 639,+48 175154038,royalauto_elblag@.pl
35,Best Motors,Plock,Brzozowa 334,+48 199203599,bestmotors_plock@.pl
36,Road Motors,Dabrowa Gornicza,Kolejowa 391,+48 904276791,roadmotors_dabrowagornicza@.pl
37,AutoShow,Walbrzych,Kwiatowa 928,+48 368038646,autoshow_walbrzych@.pl
38,Car Dealers,Wloclawek,Sloneczna 584,+48 208798475,cardealers_wloclawek@.pl
39,Best Motors,Tarnow,Szkolna 29,+48 403258733,bestmotors_tarnow@.pl
40,Auto Centrum,Chorzow,Kolejowa 515,+48 711669689,autocentrum_chorzow@.pl
41,Toyopet,Koszalin,Parkowa 831,+48 706383655,toyopet_koszalin@.pl
42,Select Motors,Kalisz,Parkowa 39,+48 285788362,selectmotors_kalisz@.pl
43,Auto Trader Company,Legnica,Polna 738,+48 125492968,autotradercompany_legnica@.pl
44,Universal Auto Group,Grudziadz,Krotka 655,+48 170905706,universalautogroup_grudziadz@.pl
45,Royal Auto,Jaworzno,Krotka 778,+48 378584152,royalauto_jaworzno@.pl
46,Toyopet,Slupsk,Kwiatowa 90,+48 252147845,toyopet_slupsk@.pl
47,Best Motors,Jastrzebie Zdroj,Sloneczna 949,+48 472679123,bestmotors_jastrzebiezdroj@.pl
48,CarMax,Nowy Sacz,Krotka 467,+48 750974835,carmax_nowysacz@.pl
49,Miroslaw Motors,Jelenia Gora,Akacjowa 453,+48 212051464,miroslawmotors_jeleniagora@.pl
50,AutoHouse,Siedlce,Kolejowa 589,+48 690865125,autohouse_siedlce@.pl
51,Wonder Cars,Myslowice,Parkowa 304,+48 127121552,wondercars_myslowice@.pl
52,PayDay Motors,Konin,Brzozowa 212,+48 863781823,paydaymotors_konin@.pl
53,Auto Martin,Pila,Akacjowa 425,+48 139980288,automartin_pila@.pl
54,Automotive Group,Piotrkow Trybunalski,Kolejowa 434,+48 898602074,automotivegroup_piotrkowtrybunalski@.pl
55,Auto Smart,Inowroclaw,Sosnowa 367,+48 612755903,autosmart_inowroclaw@.pl
56,Bracia M,Lubin,Zielona 320,+48 562930418,braciam_lubin@.pl
57,Best Motors,Ostrow Wielkopolski,Lesna 670,+48 471506369,bestmotors_ostrowwielkopolski@.pl
58,Zawada,Suwalki,Szkolna 817,+48 268436080,zawada_suwalki@.pl
59,Automotive Group,Ostrowiec Swietokrzyski,Polna 52,+48 430016055,automotivegroup_ostrowiecswietokrzyski@.pl
60,Go Motors,Gniezno,Kwiatowa 706,+48 268633503,gomotors_gniezno@.pl
61,Auto Campus,Stargard,Zielona 956,+48 633161659,autocampus_stargard@.pl
62,PayDay Motors,Glogow,Brzozowa 224,+48 824424041,paydaymotors_glogow@.pl
63,Universal Auto Group,Siemianowice Slaskie,Ogrodowa 78,+48 651142409,universalautogroup_siemianowiceslaskie@.pl
64,Bracia M,Pabianice,Brzozowa 506,+48 346506833,braciam_pabianice@.pl
65,Auto Centrum,Leszno,Koscielna 283,+48 578320685,autocentrum_leszno@.pl
66,Bracia M,Zamosc,Parkowa 644,+48 364053405,braciam_zamosc@.pl
67,Toyopet,Lomza,Kolejowa 178,+48 543847432,toyopet_lomza@.pl
68,Auto Smart,Zory,Kwiatowa 456,+48 503941058,autosmart_zory@.pl
69,National Motors,Pruszkow,Krotka 367,+48 623520920,nationalmotors_pruszkow@.pl
70,AutoShow,Elk,Parkowa 943,+48 624939514,autoshow_elk@.pl
71,Universal Auto Group,Tarnowskie Gory,Brzozowa 727,+48 247405466,universalautogroup_tarnowskiegory@.pl
72,Royal Auto,Tomaszow Mazowiecki,Lesna 915,+48 805695287,royalauto_tomaszowmazowiecki@.pl
73,Auto Martin,Chelm,Lakowa 19,+48 605133905,automartin_chelm@.pl
74,Toyopet,Przemysl,Zielona 800,+48 860206667,toyopet_przemysl@.pl
75,Toyopet,Kedzierzyn-Kozle,Brzozowa 870,+48 918355861,toyopet_kedzierzyn-kozle@.pl
76,Best Motors,Mielec,Sloneczna 193,+48 354406644,bestmotors_mielec@.pl
77,Automotive Group,Stalowa Wola,Ogrodowa 262,+48 139769716,automotivegroup_stalowawola@.pl
78,Select Motors,Tczew,Sosnowa 16,+48 471354855,selectmotors_tczew@.pl
79,Auto Trader Company,Biala Podlaska,Lesna 730,+48 458689431,autotradercompany_bialapodlaska@.pl
80,AutoHouse,Belchatow,Sloneczna 916,+48 487589731,autohouse_belchatow@.pl
81,AutoShow,Swidnica,Krotka 902,+48 757161409,autoshow_swidnica@.pl
82,Go Motors,Bedzin,Kolejowa 249,+48 803180255,gomotors_bedzin@.pl
83,AutoShow,Zgierz,Lakowa 67,+48 508905906,autoshow_zgierz@.pl
84,Premium Cars,Piekary Slaskie,Sloneczna 457,+48 770876921,premiumcars_piekaryslaskie@.pl
85,Universal Auto Group,Raciborz,Krotka 298,+48 677603965,universalautogroup_raciborz@.pl
86,Auto Centrum,Legionowo,Kwiatowa 511,+48 475380888,autocentrum_legionowo@.pl
87,AutoShow,Ostroleka,Zielona 782,+48 435160888,autoshow_ostroleka@.pl
88,Auto Trader Company,Swietochlowice,Akacjowa 934,+48 472936450,autotradercompany_swietochlowice@.pl
